Crime_ID,Crime_Type,Latitude,Longitude,Date,Time,Risk_Level,District_Code
MHCRIME000001,Kidnapping,19.466681,74.547475,2023-09-01,04:03,Low,D22
MHCRIME000002,Robbery,20.766259,72.908268,2024-10-10,07:37,Low,D14
MHCRIME000003,Kidnapping,17.171026,80.866969,2023-12-25,15:00,Medium,D27
MHCRIME000004,Assault,19.373556,76.829541,2023-03-18,07:24,Low,D01
MHCRIME000005,Burglary,20.76152,76.249595,2022-04-19,19:28,Low,D22
MHCRIME000006,Harassment,16.922238,74.425555,2022-05-26,16:50,Medium,D06
MHCRIME000007,Murder,21.409034,79.860679,2022-08-05,02:40,Medium,D30
MHCRIME000008,Assault,16.681501,78.085438,2024-04-18,22:52,Very High,D12
MHCRIME000009,Harassment,21.351951,75.782123,2025-08-10,06:48,Very High,D01
MHCRIME000010,Burglary,15.804699,80.529035,2025-06-15,20:38,High,D06
MHCRIME000011,Cyber Crime,19.57871,76.987137,2025-11-25,05:24,High,D07
MHCRIME000012,Fraud,21.734914,78.590522,2025-10-17,03:07,Low,D09
MHCRIME000013,Fraud,19.356217,76.31646,2022-05-11,19:31,Very High,D12
MHCRIME000014,Burglary,16.980764,74.675141,2024-09-11,00:15,Very High,D19
MHCRIME000015,Murder,17.983161,77.179221,2025-10-08,08:10,High,D18
MHCRIME000016,Robbery,17.17641,76.843839,2022-09-05,08:42,Medium,D22
MHCRIME000017,Assault,17.603668,73.754889,2024-01-15,18:29,Low,D01
MHCRIME000018,Fraud,15.888205,74.869654,2025-12-16,12:36,Low,D10
MHCRIME000019,Theft,16.418829,77.427304,2023-08-01,18:40,Low,D32
MHCRIME000020,Kidnapping,19.548301,72.965373,2022-05-21,02:59,Low,D13
MHCRIME000021,Vehicle Theft,17.113037,80.226127,2022-10-15,22:37,High,D25
MHCRIME000022,Cyber Crime,20.228305,73.918346,2025-11-10,13:29,High,D12
MHCRIME000023,Fraud,17.243145,73.331989,2022-04-12,16:20,High,D36
MHCRIME000024,Theft,20.339928,79.91495,2025-07-08,16:28,Very High,D10
MHCRIME000025,Burglary,19.604856,73.986281,2025-03-26,20:24,High,D03
MHCRIME000026,Assault,16.364858,80.641147,2022-01-07,22:19,Low,D19
MHCRIME000027,Fraud,16.371697,76.63726,2023-09-05,18:18,Medium,D22
MHCRIME000028,Kidnapping,17.196924,75.18686,2022-01-11,23:19,Low,D20
MHCRIME000029,Vehicle Theft,19.639896,73.687149,2022-06-05,01:43,Medium,D12
MHCRIME000030,Theft,21.611335,76.51134,2023-09-01,16:10,Medium,D06
MHCRIME000031,Fraud,16.035673,80.440004,2022-11-27,16:18,Low,D28
MHCRIME000032,Burglary,19.619595,73.537537,2025-05-01,02:26,High,D23
MHCRIME000033,Theft,17.01017,79.316064,2023-10-07,14:10,High,D27
MHCRIME000034,Harassment,19.694024,76.03546,2022-09-24,05:37,Low,D36
MHCRIME000035,Murder,20.552571,78.395457,2024-10-19,08:01,Medium,D07
MHCRIME000036,Vehicle Theft,20.904208,73.890877,2025-09-02,09:21,Very High,D32
MHCRIME000037,Theft,18.751102,76.459871,2024-07-09,15:23,Low,D08
MHCRIME000038,Vehicle Theft,17.343902,80.820443,2023-09-27,09:24,Medium,D20
MHCRIME000039,Vehicle Theft,21.9351,80.152454,2024-09-11,06:38,Medium,D26
MHCRIME000040,Theft,19.97156,72.847309,2022-10-11,06:42,High,D28
MHCRIME000041,Cyber Crime,16.924016,73.895223,2025-01-14,10:44,Very High,D19
MHCRIME000042,Vehicle Theft,20.964085,72.857574,2022-05-21,21:10,Medium,D01
MHCRIME000043,Robbery,15.818527,76.077353,2024-07-23,15:12,Medium,D24
MHCRIME000044,Vehicle Theft,21.333132,75.890534,2023-05-02,07:32,High,D04
MHCRIME000045,Theft,20.706621,73.543094,2024-05-23,11:04,High,D20
MHCRIME000046,Fraud,19.918814,79.161385,2023-02-13,15:50,High,D20
MHCRIME000047,Burglary,19.510743,75.737768,2022-09-28,13:48,High,D07
MHCRIME000048,Theft,17.723688,74.199416,2022-09-04,21:40,Very High,D01
MHCRIME000049,Murder,16.825426,77.591492,2023-12-25,00:38,Very High,D20
MHCRIME000050,Kidnapping,20.193937,75.805244,2022-07-21,20:05,High,D11
MHCRIME000051,Burglary,20.391687,75.428672,2025-08-21,12:25,Low,D24
MHCRIME000052,Harassment,19.719077,79.576742,2024-02-10,11:16,Medium,D25
MHCRIME000053,Harassment,18.89309,78.210049,2022-02-27,09:57,Low,D19
MHCRIME000054,Fraud,17.612296,74.145499,2022-02-03,12:48,Very High,D17
MHCRIME000055,Assault,18.809727,76.312057,2023-02-18,12:39,Low,D27
MHCRIME000056,Vehicle Theft,16.432684,77.7778,2024-02-26,06:25,Very High,D33
MHCRIME000057,Murder,21.696047,77.043868,2023-07-09,09:19,Very High,D06
MHCRIME000058,Harassment,18.839267,80.542214,2022-03-19,03:51,High,D35
MHCRIME000059,Fraud,17.532243,79.735059,2023-09-17,03:12,Very High,D31
MHCRIME000060,Vehicle Theft,18.345215,74.748844,2022-11-19,16:05,High,D02
MHCRIME000061,Murder,22.024505,76.649483,2022-04-05,02:03,Low,D02
MHCRIME000062,Fraud,21.108582,79.865523,2023-08-01,13:25,Medium,D25
MHCRIME000063,Theft,17.35602,75.33653,2025-04-28,18:00,High,D04
MHCRIME000064,Harassment,19.88019,77.587406,2023-12-05,19:38,High,D24
MHCRIME000065,Theft,17.278526,77.872159,2023-11-07,23:32,Medium,D30
MHCRIME000066,Harassment,17.264702,78.087839,2023-05-27,08:42,Medium,D26
MHCRIME000067,Robbery,16.10012,80.772663,2023-08-19,06:31,Medium,D18
MHCRIME000068,Cyber Crime,16.147939,78.4288,2024-04-22,19:20,High,D15
MHCRIME000069,Burglary,19.925438,73.199117,2024-09-26,07:47,High,D10
MHCRIME000070,Kidnapping,17.704191,76.105179,2025-12-20,23:18,Low,D03
MHCRIME000071,Theft,21.298336,80.303244,2024-06-22,22:26,Low,D20
MHCRIME000072,Fraud,20.42592,74.997995,2024-07-28,22:10,High,D10
MHCRIME000073,Robbery,18.211284,74.996812,2024-05-18,23:01,Very High,D21
MHCRIME000074,Kidnapping,19.064464,79.506971,2025-04-10,06:54,Low,D22
MHCRIME000075,Cyber Crime,17.766543,73.704704,2025-02-04,01:33,High,D03
MHCRIME000076,Theft,21.421583,76.029917,2025-09-13,00:16,Low,D07
MHCRIME000077,Burglary,16.896466,77.045629,2022-02-24,10:43,Medium,D28
MHCRIME000078,Vehicle Theft,21.797094,75.098725,2023-09-18,12:16,Very High,D01
MHCRIME000079,Harassment,19.93296,75.834792,2025-06-24,15:35,High,D15
MHCRIME000080,Robbery,18.760684,79.339793,2025-01-28,13:50,Very High,D34
MHCRIME000081,Harassment,20.540242,73.95862,2023-08-15,09:41,Low,D26
MHCRIME000082,Assault,21.338683,74.659349,2022-01-15,03:48,Very High,D08
MHCRIME000083,Assault,17.75412,76.97119,2025-03-13,11:57,Medium,D02
MHCRIME000084,Fraud,19.698821,80.59794,2022-05-04,08:01,Low,D15
MHCRIME000085,Theft,15.874825,74.047224,2024-12-11,14:48,High,D17
MHCRIME000086,Burglary,21.009104,75.433193,2022-01-19,20:05,Medium,D28
MHCRIME000087,Fraud,19.281496,78.906972,2025-12-29,11:49,Medium,D26
MHCRIME000088,Vehicle Theft,18.352889,72.952307,2025-03-17,03:04,High,D14
MHCRIME000089,Assault,18.582116,80.445498,2022-10-20,03:21,Very High,D24
MHCRIME000090,Murder,19.357293,75.989927,2024-12-09,21:04,Very High,D34
MHCRIME000091,Assault,21.435421,77.374027,2023-07-17,12:16,Medium,D35
MHCRIME000092,Kidnapping,21.079658,72.824724,2022-07-25,09:32,Low,D29
MHCRIME000093,Fraud,18.209557,73.487832,2023-11-29,19:08,Very High,D26
MHCRIME000094,Murder,15.777396,75.806169,2025-03-22,23:22,High,D11
MHCRIME000095,Harassment,21.463136,78.374693,2022-08-02,17:44,Very High,D08
MHCRIME000096,Burglary,19.152605,76.126052,2023-02-15,00:50,Low,D30
MHCRIME000097,Cyber Crime,16.149843,72.894846,2024-05-10,21:36,High,D13
MHCRIME000098,Assault,19.684229,73.400312,2025-11-17,18:22,Very High,D30
MHCRIME000099,Robbery,19.363838,72.616516,2022-09-01,03:27,Low,D31
MHCRIME000100,Cyber Crime,16.678125,73.819988,2024-07-31,07:58,Medium,D19
MHCRIME000101,Assault,16.276816,78.337817,2023-01-08,05:50,Medium,D29
MHCRIME000102,Harassment,17.752894,73.846744,2024-02-06,17:39,Very High,D31
MHCRIME000103,Theft,19.789869,80.74325,2025-09-01,14:04,Very High,D01
MHCRIME000104,Robbery,19.386085,72.90912,2024-06-22,14:44,Low,D26
MHCRIME000105,Cyber Crime,16.130299,79.837259,2022-10-25,18:52,Low,D36
MHCRIME000106,Robbery,17.646128,75.489872,2025-12-18,02:57,Low,D03
MHCRIME000107,Fraud,18.881325,79.760497,2024-10-08,06:48,Very High,D22
MHCRIME000108,Harassment,20.820749,77.123459,2024-08-03,04:03,Medium,D24
MHCRIME000109,Harassment,16.866679,76.562244,2024-08-13,06:01,Medium,D12
MHCRIME000110,Robbery,21.233491,74.173092,2024-04-19,11:27,Medium,D36
